A_Cheerful_Giver_7893.xls,['']
A_Homestead_Shoppe_7980.xls,['']
A_Primitive_Glow_1340.xls,"['Currently in stock', '', 'Available only in Snow Crème Scent - Currently in stock']"
Adams_&_Co_Closeouts_7957.xls,['In stock & shipping']
Adams_and_Company_252.xls,"['In stock & shipping (checked January 28, 2024)', 'out of stock', 'Order to ship after - January 25, 2024', 'Order to ship after - February 15, 2024', 'Order to ship after - February 01, 2024']"
Albert_Estate_LTD_8045.xls,"['', '(All) Products|Table Lamps|New additions|Sale']"
American_Dakota_Rugs_8018.xls,['']
Amish_Star_259.xls,['']
Ann_Clark_Cookie_Cutters_7911.xls,['']
Artistic_Reflections_7851.xls,['']
Audrey's_Closeouts_and_Sale_8064.xls,['']
Audreys_Your_Hearts_Delight_251.xls,"['Out of stock - order to ship after January 16, 2024', 'In stock & shipping (checked January 19, 2024)', 'Low inventory - expected January 16, 2024', 'Out of stock - order to ship after February 19, 2024', 'Low inventory - expected March 01, 2024', 'Out of stock - order to ship after January 17, 2024', 'Out of stock - order to ship after January 19, 2024', 'Out of stock - order to ship after February 09, 2024', 'Out of stock - order to ship after January 01, 2024', 'Out of stock - order to ship after February 25, 2024', 'Out of stock - order to ship after February 13, 2024', 'Out of stock - order to ship after February 29, 2024', 'Out of stock - order to ship after May 01, 2024', 'Low inventory - expected May 01, 2024', 'Out of stock - order to ship after June 14, 2024', 'Out of stock - order to ship after February 01, 2024', 'Out of stock - order to ship after March 02, 2024', 'Out of stock - order to ship after February 04, 2024', 'Out of stock - order to ship after March 27, 2024', 'Out of stock - order to ship after May 14, 2024', 'Out of stock - order to ship after March 20, 2024', 'Out of stock - order to ship after February 14, 2024', 'Low inventory - expected February 03, 2024', 'Low inventory - expected March 27, 2024', 'Out of stock - order to ship after March 15, 2024', 'Out of stock - order to ship after April 29, 2024', 'Out of stock - order to ship after April 14, 2024', 'Low inventory - expected February 09, 2024', 'Out of stock - order to ship after February 07, 2024', 'Low inventory', 'No stock', 'Low inventory - expected February 25, 2024']"
Barn_Candles_8011.xls,"['', 'Sold out', 'Temporarily out of stock']"
Barn_Cat_Mercantile_8074.xls,['']
Beach_Frames_8006.xls,['']
Benson_Country_Packaging_7912.xls,['']
Bethany_Lowe_1044.xls,"['', 'Sold out', 'Currently in stock', 'Out of stock']"
Beyond_Borders_7969.xls,['']
Bittersweet_Springs_Metal_8005.xls,"['', 'Choose from dropdown menu.']"
Black_Crow_Candles_7990.xls,['']
Blossom_Bucket_7929.xls,['']
Blossom_Bucket_Closeouts_8043.xls,['']
Brazos_Walking_Sticks_7976.xls,['']
Bright_Ideas_8030.xls,['']
Capabunga_Wine_Products_7968.xls,"['', '(All) Capabunga Products|Corkscrew']"
Capitol_Discounted_Closeouts_7960.xls,"['Closeout Price', 'Out of stock']"
Capitol_Imports_258.xls,"['In stock & shipping (checked January 27, 2024)', 'Out of stock', 'Out of stock - order to ship after February 1st']"
Carson_Home_-_Flags_8012.xls,['']
Carson_Home_Accents_7988.xls,['']
Carson_Home_Accents_Closeouts_8008.xls,['']
Cedar_Mesa_Pottery_7966.xls,['']
Channel_Craft_7883.xls,['']
Cheasapeake_&JD_Yeatts_Closeouts_7971.xls,"['Stock', '']"
Chesapeake_Bay_&_JD_Yeatts_7933.xls,"['In Stock', 'Out of Stock']"
CLM_Enterprise_Rugs_7920.xls,['IN STOCK & Shipping']
Coast_Lamp_Mfg._7936.xls,"['', 'Table Lamp', 'Table lamp ', 'Accent Bench', 'Home Décor Accessory', 'Fireplace Accessory', 'WOODEN TRAYS', 'Accent Furniture ', 'Accent Table', 'Bath Accessory ', 'Tray Lamp', 'Wall Décor ', 'Coat Rack ', 'Floor Lamp ', 'Wall Décor']"
Colonial_Thymes_Candles_7970.xls,['']
Colorful_Garden_Flags_8033.xls,['']
Concepts_in_Time_8049.xls,['']
Country_Home_Creations_7931.xls,"['Price is for 12', 'Price is for 6', '']"
Cowgirl_Chocolates_7992.xls,"['', 'Bars are sold in 2 dozen assorted lots so please order what flavors you want of each bar but make sure your choices of bars make 24', 'Truffle Bars are sold in dozens so please order what flavors you want but make sure your choices of bars make 12']"
Craft_Outlet_-_Olde_Memories_7989.xls,"['In stock', 'Out of stock']"
Crossroads_Candles_8076.xls,"['', 'Total count for 26 OZ Candles with Artwork should be at least 12.']"
Darren_Gygi_Canvas_Art_8023.xls,['']
Deb_&_Co._Handmade_Ornaments_7981.xls,['']
Debry_Jewelry_7886.xls,"['', 'Out of stock']"
Delton_Products_8029.xls,['']
Delton_Products_Closeouts_8038.xls,"['-29% OFF Saving', '-30% OFF Saving', '-31% OFF Saving', '-28% OFF Saving', '-23% OFF Saving', '-27% OFF Saving', '-32% OFF Saving', '-37% OFF Saving', '-36% OFF Saving', '-33% OFF Saving', '-25% OFF Saving', '-24% OFF Saving', '-44% OFF Saving', '-35% OFF Saving', '-17% OFF Saving', '-34% OFF Saving', '-47% OFF Saving', '-22% OFF Saving', '-26% OFF Saving', '-20% OFF Saving']"
Designs_Combined_7862.xls,"['In Stock', 'Out of Stock']"
Desperate_Tin_Signs_8022.xls,['']
DNS_Designs_7952.xls,['']
Fiber_&_Water_Framed_Art_8040.xls,['']
Flags_Galore_Decor_8072.xls,['']
