WHAT HAPPENS AT THE WINERY STAYS AT THE WINERY,200-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,200-81.jpg,200-81.jpg,,,,,
"IF I EVER GO MISSING, PUT MY PHOTO ON WINE BOTTLES, NOT MILK CARTONS",206-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,206-81.jpg,206-81.jpg,,,,,
I COOK WITH WINE. SOMETIMES I PUT IT IN THE FOOD,207-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,207-81.jpg,207-81.jpg,,,,,
ALL BECAUSE TWO PEOPLE DRANK WINE,208-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,208-81.jpg,208-81.jpg,,,,,
I NEVER DRINK WINE UNLESS I'M ALONE OR WITH SOMEONE,209-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,209-81.jpg,209-81.jpg,,,,,
DINNER IS POURED,210-58,"Coffee - Bar - Wine|5"" x 8"" Signs (All)",Tempered Hardboard Sign,,,,,"5"" x 8""",,3,$3.50,,,,,3,Hipsigns400,Hipsigns160,210-58.jpg,210-58.jpg,,,,,
DINNER IS POURED,210-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,210-81.jpg,210-81.jpg,,,,,
"WINE DOES NOT MAKE YOU FAT. IT MAKES YOU LEAN. LEAN ON CHAIRS, PEOPLE, WALLS",212-58,"Coffee - Bar - Wine|5"" x 8"" Signs (All)",Tempered Hardboard Sign,,,,,"5"" x 8""",,3,$3.50,,,,,3,Hipsigns400,Hipsigns160,212-58.jpg,212-58.jpg,,,,,
A REAL FRIEND KNOWS: HOW TO START POURING HOW TO STOP POURING HOW TO HAND YOU THE BOTTLE,212-81,"Coffee - Bar - Wine|8"" x 10"" Signs (All)",Tempered Hardboard Sign,,,,,"8"" x 10""",,2,$5.00,,,,,2,Hipsigns400,Hipsigns160,212-81.jpg,212-81.jpg,,,,,
IT'S FIVE O'CLOCK SOMEWHERE,213-58,"Coffee - Bar - Wine|5"" x 8"" Signs (All)",Tempered Hardboard Sign,,,,,"5"" x 8""",,3,$3.50,,,,,3,Hipsigns400,Hipsigns160,213-58.jpg,213-58.jpg,,,,,
