Elephant Trunk Show 3-D,RND870,Miscellaneous,"14"" x 14""   Everyone loves elephants … especially this new round with baby and mama. Mdade by Ednor Louis.",Artist: Ednor Louis,,,,14 x 14,,1,28.5,,,,,1,Beyond400,Beyond160,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,,,Beyond800,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,,
Elephant Trunk Show 3-D,RND870,Miscellaneous,"14"" x 14""   Everyone loves elephants … especially this new round with baby and mama. Mdade by Ednor Louis.",Artist: Ednor Louis,,,,14 x 14,,1,28.5,,,,,1,Beyond400,Beyond160,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,,,Beyond800,4a004020d9e4b28c3df356bbfb3155d5ca8e5ef3.jpg,,
Medium Gecko with Marbles,SM880,Miscellaneous,"9"" x 17"" x 9""   Our newest 3-D gecko comes alive with embedded colored glass marbles. Made by Robento Dorestan.",Artist: Robento Dorestan,,,,9 x 17 x 9,,1,30.5,,,,,1,Beyond400,Beyond160,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,,,Beyond800,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,,
Medium Gecko with Marbles,SM880,Miscellaneous,"9"" x 17"" x 9""   Our newest 3-D gecko comes alive with embedded colored glass marbles. Made by Robento Dorestan.",Artist: Robento Dorestan,,,,9 x 17 x 9,,1,30.5,,,,,1,Beyond400,Beyond160,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,,,Beyond800,f84139c208f4ad3e612bc1c9a8dd2240135919c3.jpg,,
Painted Flower Paradise Elephant,SM942,Miscellaneous,,Artist: Yvemer Brutus,,,,23x15,,1,59,,,,,1,Beyond400,Beyond160,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,,,Beyond800,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,,
Painted Flower Paradise Elephant,SM942,Miscellaneous,,Artist: Yvemer Brutus,,,,23x15,,1,59,,,,,1,Beyond400,Beyond160,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,,,Beyond800,36d5bc7760035e05ca61e4544a28c9ace1a0a02e.jpg,,
"Painted Jeepers, Creepers",RND941,Miscellaneous,,Artist: Jeanclaude Pierre,,,,23x23,,1,58,,,,,1,Beyond400,Beyond160,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,,,Beyond800,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,,
"Painted Jeepers, Creepers",RND941,Miscellaneous,,Artist: Jeanclaude Pierre,,,,23x23,,1,58,,,,,1,Beyond400,Beyond160,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,,,Beyond800,a36e709bae43e0c17f8b6b0c6a4531ea9977e5b2.jpg,,
Jungle Friends,REC314,Miscellaneous,You have to love this friendly jungle trio … perfect for kids' rooms and animal lovers. Created by Norvh St. Bonheur.,Made by Artist: Norvh St. Bonheur,,,,34x12 ,,1,34.3,,,,,1,Beyond400,Beyond160,REC314.jpg,REC314.jpg,,,Beyond800,REC314.jpg,,
Jungle Friends,REC314,Miscellaneous,You have to love this friendly jungle trio … perfect for kids' rooms and animal lovers. Created by Norvh St. Bonheur.,Made by Artist: Norvh St. Bonheur,,,,34x12 ,,1,34.3,,,,,1,Beyond400,Beyond160,REC314.jpg,REC314.jpg,,,Beyond800,REC314.jpg,,
Tall Giraffe,REC381,Miscellaneous,What a view … and what a great sculpture that depicts the tallness of this giraffe. Created by La Guerre Dieufaite.,Made by Artist: Diefaite Laguerre,,,,6.5x32,,1,22,,,,,1,Beyond400,Beyond160,REC381.jpg,REC381.jpg,,,Beyond800,REC381.jpg,,
Tall Giraffe,REC381,Miscellaneous,What a view … and what a great sculpture that depicts the tallness of this giraffe. Created by La Guerre Dieufaite.,Made by Artist: Diefaite Laguerre,,,,6.5x32,,1,22,,,,,1,Beyond400,Beyond160,REC381.jpg,REC381.jpg,,,Beyond800,REC381.jpg,,
Large Gecko Left,REC626,Miscellaneous,Retailers cannot get enough of these oversized and impressively dimensional geckos. They'll have you climbing the walls in a good way. Choose from right-facing and left-facing designs. Created by Robento Dorestan.,Made by Artist: Robento Dorestan  ,,,,16x28,,1,40,,,,,1,Beyond400,Beyond160,REC626.jpg,REC626.jpg,,,Beyond800,REC626.jpg,,
Large Gecko Left,REC626,Miscellaneous,Retailers cannot get enough of these oversized and impressively dimensional geckos. They'll have you climbing the walls in a good way. Choose from right-facing and left-facing designs. Created by Robento Dorestan.,Made by Artist: Robento Dorestan  ,,,,16x28,,1,40,,,,,1,Beyond400,Beyond160,REC626.jpg,REC626.jpg,,,Beyond800,REC626.jpg,,
