Roy Tree Topper  ,C13405,(All) Honey & Me Products|Holiday,,June 1st,,,,"6""h, 20""l (w/stick)",,2.00,23.00,8.00,20.70,,,2.00,Honeyme400,Honeyme160,C13405__65729__43513__71851.1588631165.jpg,C13405__65729__43513__71851.1588631165.jpg,87401307183,,Honeyme800,C13405__65729__43513__71851.1588631165.jpg,
Gavin N. Gear Snowman,C16042,(All) Honey & Me Products|Holiday,,June 1st,,,,"8-1/2""h",,2.00,12.00,8.00,10.80,,,2.00,Honeyme400,Honeyme160,C16042.jpg,C16042.jpg,7.28616E+11,,Honeyme800,C16042.jpg,
Godwin N. Gear Snowman ,C16043,(All) Honey & Me Products|Holiday,,August 10th,,,,"8-1/2""h",,3.00,10.25,12.00,9.23,,,3.00,Honeyme400,Honeyme160,C16043.jpg,C16043.jpg,7.28616E+11,,Honeyme800,C16043.jpg,
Red Christmas Bulb Small Candle Ring,C160452,|Holiday,,June 10th,,,,"2-1/4"" d (center)",,12.00,3.00,48.00,2.70,,,12.00,Honeyme400,Honeyme160,3562_image__83396__04005__59812.1588631206.jpg,3562_image__83396__04005__59812.1588631206.jpg,7.28616E+11,,Honeyme800,3562_image__83396__04005__59812.1588631206.jpg,
Red Christmas Bulb Small Pick,C160453,(All) Honey & Me Products|Holiday,,June 1st/June 10th,,,,"14"" l",,12.00,4.25,48.00,3.83,,,12.00,Honeyme400,Honeyme160,C160453.jpg,C160453.jpg,7.28616E+11,,Honeyme800,C160453.jpg,
Garth H. Gear Snowman,C16051,(All) Honey & Me Products|Holiday,,June 1st/August 10th,,,,"8""h",,4.00,7.75,16.00,6.98,,,4.00,Honeyme400,Honeyme160,C16051.jpg,C16051.jpg,42,,Honeyme800,C16051.jpg,
Christmas Trees Pallet Sign,C160609,(All) Honey & Me Products|Holiday,,June 1st,,,,"17""w X 6-1/2""h X 2""d (stand/hang)",,2.00,17.50,8.00,15.75,,,2.00,Honeyme400,Honeyme160,C160609.jpg,C160609.jpg,8.47013E+11,,Honeyme800,C160609.jpg,
Ivory Metal Snowflake Ornament,C160669,(All) Honey & Me Products|Holiday,,June 10th,,,,"3""d (w/o hanger)",,20.00,2.75,80.00,2.48,,,20.00,Honeyme400,Honeyme160,C160669.jpg,C160669.jpg,8.47013E+11,,Honeyme800,C160669.jpg,
Christmas Greenery with Wooden Snowflakes Wreath,C16475,(All) Honey & Me Products|Holiday,,June 1st/June 10th,,,,"11"" d (center)",,2.00,15.25,8.00,13.73,,,2.00,Honeyme400,Honeyme160,3451_large_image.jpg,3451_large_image.jpg,8.47013E+11,,Honeyme800,3451_large_image.jpg,
C16479 Christmas Greenery with Wooden Snowflakes Small Pick,C16479,(All) Honey & Me Products|(Newest) Additions|Holiday,,June 10th,,,,"SIZE:
14-1/2"" l",,12.00,4.00,48.00,3.60,,,12.00,Honeyme400,Honeyme160,3454_image__45052__97835__17985.1588631229.jpg,3454_image__45052__97835__17985.1588631229.jpg,,,Honeyme800,3454_image__45052__97835__17985.1588631229.jpg,
Wooden Snowflakes Large Pick ,C16486,(All) Honey & Me Products|Holiday,,June 10th,,,,"23"" l",,12.00,4.25,48.00,3.83,,,12.00,Honeyme400,Honeyme160,C16486.jpg,C16486.jpg,8.47013E+11,,Honeyme800,C16486.jpg,
C16487 Wooden Snowflakes Small Pick,C16487,(All) Honey & Me Products|(Newest) Additions|Holiday,,June 10th,,,,"SIZE:
14-1/2"" l",,12.00,3.25,48.00,2.93,,,12.00,Honeyme400,Honeyme160,3450_image__48530__61446__47196.1588631230.jpg,3450_image__48530__61446__47196.1588631230.jpg,,,Honeyme800,3450_image__48530__61446__47196.1588631230.jpg,
Red Bell With Snow Small Wreath,C16489,(All) Honey & Me Products|Holiday,,June 10th,,,,"6-1/2""d (center)",,6.00,9.00,24.00,8.10,,,6.00,Honeyme400,Honeyme160,C16489.jpg,C16489.jpg,8.47013E+11,,Honeyme800,C16489.jpg,
C16492 Red Bell with Snow Small Pick,C16492,(All) Honey & Me Products|Holiday,,June 10th,,,,"SIZE:
13"" l",,12.00,4.25,48.00,3.83,,,12.00,Honeyme400,Honeyme160,3429_image__93815__36911__45469.1588631232.jpg,3429_image__93815__36911__45469.1588631232.jpg,3.375,,Honeyme800,3429_image__93815__36911__45469.1588631232.jpg,
Rusty Bow Ornament,C16721,(All) Honey & Me Products|Holiday,,June 10th,,,,"6"" w X 6"" h",,18.00,2.25,72.00,2.03,,,18.00,Honeyme400,Honeyme160,C16721.jpg,C16721.jpg,8.47013E+11,,Honeyme800,C16721.jpg,
C17002 Wooden Snowflakes Ornament Set (12),C17002,(All) Honey & Me Products|Holiday,,June 10th,,,,"SIZE:
1-1/2""d (w/o hanger)",,12.00,3.75,48.00,3.38,,,12.00,Honeyme400,Honeyme160,C17002__26891__02723__75685.1588631688.jpg,C17002__26891__02723__75685.1588631688.jpg,2.925,,Honeyme800,C17002__26891__02723__75685.1588631688.jpg,
Small Chubby Deer,C170209,(All) Honey & Me Products|Flannel Flurries|Holiday,,August 10th,,,,"9""w X 9""h",,2.00,14.75,8.00,13.28,,,2.00,Honeyme400,Honeyme160,4167_large_image.jpg,4167_large_image.jpg,8.47013E+11,,Honeyme800,4167_large_image.jpg,
Large Chubby Deer,C170210,(All) Honey & Me Products|Flannel Flurries|Holiday,,August 10th,,,,"12-1/2""w X 13""h",,2.00,20.25,8.00,18.23,,,2.00,Honeyme400,Honeyme160,4166_large_image.jpg,4166_large_image.jpg,8.47013E+11,,Honeyme800,4166_large_image.jpg,
Large Country Snowmen Set (2A),C17022,(All) Honey & Me Products|Holiday,,June 1st,,,,"15""h & 16-1/2""h",,1.00,33.75,4.00,30.38,,,1.00,Honeyme400,Honeyme160,4196_large_image.jpg,4196_large_image.jpg,8.47013E+11,,Honeyme800,4196_large_image.jpg,
Medium Country Snowmen Set (2A),C17023,(All) Honey & Me Products|Holiday,,June 1st,,,,"9""h & 11""h",,1.00,29.75,4.00,26.78,,,1.00,Honeyme400,Honeyme160,4194_large_image.jpg,4194_large_image.jpg,8.47013E+11,,Honeyme800,4194_large_image.jpg,
