#15  Fall Doll D-93,"Lillian is a wonderful piece to our fall line
she has a simple apron, black crow in her arms, and check out her fingers and toes. hangs",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/Feb_06_PA_MA_show_booth_samples_002.jpg
#296  F-27 Painted orange pumpkin,"This pumpkin is a must have for your decor.  9"" tall with a rusty star and moss . Weighed to stand.",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2010_019.jpg
#474  F-28 Witch with cape,"This hanging witch is about 16"" she is wearing a homepsun black and white check dress with a grungy cheesecloth apron.  Tied at her neck is a black cape.",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/P6050223.jpg
#33  Witch F-41,"This witch is so witchy with her trick or treat bag, long pod nose and moss under her witch hat. Gives her the perfect halloween look. She stands approx. 12""",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_061.jpg
#361  F-53 Hanging scarecrow,"This hanging scarecrow is wonderful for the fall.  hangs on a stick with berries and twigs tucked in his tie.  Approx. 14"" ",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2011_028.jpg
#514  F-60 Pumpkin guy,"This pumpkin is in an aged orange flannel body with a black flannel coat.  Cheese cloth tie. He is holding a bunch of twigs sweet annie, berries,   Stands 11""     Awesome seller",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/P1010356.jpg
#8  Pumpkin Doll F-62,"This is Priscilla she is a old time favorite. She is wearing a tan check homespun dress with filled apron. Approx 24""",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_039.jpg
#78  Witch F-64,"Our Black dress witch is ready for some Harvest fun with her broom in hand. Will measure 27"" Hangs",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_089.jpg
#6  Harvest Time Doll F-65,"This is our Harvest Time Doll she is wearing a dyed black and white check homepun dress, and a beautiful filled apron.
Harvest Time Is Here",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_031.jpg
#9  Pumpkin Guy F-67,Our oldie but goodie pumpkin guy looks wonderful hanging on a door to welcome your guest.,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_027(1).jpg
#26  Ghost F-70,This is the best primitive ghost with a bat hanging from its neck. A must have for the holiday.,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/New_Items_06_Fall_items_006.jpg
#439  F-76 Pumpkin/Witch Tablehead,Pumpkin/Witch Tablehead is made from aged flannel with a black felt witch hat.  Pefect for your fall/harvest decorating.  ,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/P1010516.JPG
#7  Candycorn Doll F-80,"What a great doll for the holidays, she is wearing a dyed muslin dress, and holds a candycorn grunged with cinnamon.",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2006_003.jpg
#202  F-81 Pumpkin Witch,Our pumpkin witch is approx. 20 tall and is wearing a black dress. She is already with her trick or treat bag on her arm. And a moon nestled in the other. Hangs,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2008_091.jpg
#392  F-90 Pumpkin scarecrow,"Our pumpkin scarecrow is 14"" with a black dress moss at the bottom and on arms. ",http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2012_020.jpg
#396  F-95 Pumpkin Witch,Our little pumpkin witch is perfit for hanging on a peg or sitting in a cupboard.  11' she is wearing a grungy osnaburg dress with a black tie and witch hat.,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2012_024.jpg
#31  Pumpkin w/Pal F-97,This is an adorable pumpkin with his pumpkin pal on a stick.,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2007_057.jpg
#203  F-99 Pumpkin Doll,Our hanging pumpkin doll is a must have for the Fall. She is wearing an aged gathered osnaburg dress. A filled basket tied to her arm.,http://www.primitivesatcrowhollow.com/fpdb/images/homebtn.gif,http://www.primitivesatcrowhollow.com/fpdb/images/samples_2008_026.jpg
