"Dips, Spreads, & Other Mixes ",Item# ,,QTY ,,,U/M ,,,,,Price ,Amt
Apple Toffee Dip Mix ,10126,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Artichoke & Spinach Dip Mix ,10066,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Avocado Ranch Dip Mix? ,10162,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Bacon & Cheddar Cheesespread Mix ,10035,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Birthday Cake Dip Mix ,10142,"Dips, Spreads, & Other Mixes ",,,,1CS ,,,,1,39,
B.L.T. Dip Mix ,10023,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Bloody Mary Dip/Drink Mix ,10148,"Dips, Spreads, & Other Mixes ",,,,1CS ,,,,1,39,
Blueberry Lemon Dip Mix ,10075,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Bueño Taco Dip Mix ,10135,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Buffalo Wing Dip Mix ,10045,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Caramel Apple Dip Mix ,10014,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Caramelized Onion & Garlic Dip Mix ,10101,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Carrot Cake Dip Mix ,10093,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
"Cheeseburger, Bacon Dip Mix ",10114,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cheesy Veggie Dip Mix ,10149,"Dips, Spreads, & Other Mixes ",,,,1CS ,,,,1,39,
Cherry Almond Dip Mix ,10065,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cherry Bourbon BBQ Sauce Mix ,10125,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Chile Con Queso Dip Mix ,10001,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Chipotle & Garlic Dip Mix ,10060,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Chocolate Salted Caramel Dip Mix ,10106,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Citrus Poblano Dip Mix ,10154,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cookie Dough Dip Mix ,10143,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cookies & Cream Dip Mix? ,10160,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Crab Dip Mix ,10137,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Craft Beer Cheese Spread/Dip Mix ,10109,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cranberry Orange Dip Mix ,10074,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cranberry & Walnut Dip Mix ,10028,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Cucumber Onion Dip Mix ,10054,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Dilly Dip Mix ,10002,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Dill Pickle Dip Mix ,10092,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Espresso Dip Mix ,10129,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Farmhouse Ranch Dip Mix ,10052,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Fiesta Nacho Cheese Dip Mix ,10080,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
French Onion Dip Mix ,10029,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Fruit Dip Mix ,10004,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Fudge Brownie Dip Mix ,10130,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Garden Medley Dip Mix ,10006,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Garlic Asiago Dip Mix ,10055,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Garlic & Herb Spread Dip Mix ,10003,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Gingerbread Dip Mix ,10144,"Dips, Spreads, & Other Mixes ",,,,1CS ,,,,1,39,
Guacamole Dip Mix ,10103,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Habanero Pepper Dip Mix ,10071,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Honey Apple Pecan Dip Mix ,10024,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Hot Cocoa Dip Mix? ,10165,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Horseradish & Bacon Dip Mix ,10034,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Italian Spinach Dip Mix ,10133,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Jalapeño Pepper Dip Mix ,10037,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Key Lime Cooler Dip Mix ,10057,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Lemon Cooler Dip Mix ,10027,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Lime Cilantro Dip Mix ,10061,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Loaded Baked Potato Dip Mix? ,10161,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Mom’s Apple Pie Dip Mix ,10110,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Peach Jalapeño Dip Mix ,10121,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Peach Salsa Dip Mix ,10124,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Peaches & Cream Dip Mix ,10115,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Peanut Butter Choc. Chip Dip Mix ,10058,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Pesto Dip Mix ,10042,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Pineapple Pecan Cheesespread Mix ,10018,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Pizza Dip Mix ,10063,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
"Popper, Jalapeño Dip Mix ",10119,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
"Pumpkin Dip Mix, Harvest ",10025,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Queso Blanco Dip Mix? ,10163,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Raspberry Lemon Dip Mix ,10134,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Salsa Ranch Dip Mix (creamy) ,10062,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Sassy BBQ Sauce Dip Mix ,10107,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Smokehouse Dip Mix ,10153,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Spicy Guacamole Dip Mix ,10145,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Spinach Dip Mix ,10005,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Strawberries & Cream Dip Mix ,10078,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Southern Style Cajun Dip Mix ,10159,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
SunDried Tomato & Garlic Dip Mix ,10141,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Sweet Onion & Bacon Dip Mix ,10017,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Tiramisu Dip Mix ,10102,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Ultimate Garlic Dip Mix ,10038,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
White Cheddar Jalapeño Dip Mix ,10077,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
White Chocolate Raspberry Dip Mix ,10053,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Zippy Horseradish Dip Mix ,10112,"Dips, Spreads, & Other Mixes ",,,,1 CS ,,,,1,39,
Mini Garlic & Herb Spread Dip Mix ,10016,Mini Dips & Spreads ,,,,1 CS ,,,,1,19.8,
