Picanny Freeze,43,Food & Beverage|(ALL) TIN SIGNS,,,,,,"16""W x 12.5""H",,1,6.33,,,,,1,desperate400,desperate160,D043 Piccaninny Freeze.jpg,D043 Piccaninny Freeze.jpg,,,desperate800,D043 Piccaninny Freeze.jpg,
Ted's Moxie,60,(ALL) TIN SIGNS,,,,,,"12.5""W x 16""H",,1,6.33,,,,,1,desperate400,desperate160,D060 Ted's Moxie.jpg,D060 Ted's Moxie.jpg,,,desperate800,D060 Ted's Moxie.jpg,
Ivory Soap Girl Washing,95,Illustrators|(ALL) TIN SIGNS,,,,,,"12.5""W x 16""H",,1,6.33,,,,,1,desperate400,desperate160,D095 Humphrey Ivory Soap - Copy.jpg,D095 Humphrey Ivory Soap - Copy.jpg,,,desperate800,D095 Humphrey Ivory Soap - Copy.jpg,
Uncle Remus Syrup,125,Food & Beverage|(ALL) TIN SIGNS,,,,,,"16""W x 12.5""H",,1,6.33,,,,,1,desperate400,desperate160,D125 Uncle Remus Syrup.jpg,D125 Uncle Remus Syrup.jpg,,,desperate800,D125 Uncle Remus Syrup.jpg,
Uncle Sam I Want You,128,Military|(ALL) TIN SIGNS,,,,,,"12.5""W x 16""H",,1,6.33,,,,,1,desperate400,desperate160,D128 Uncle Sam.jpg,D128 Uncle Sam.jpg,,,desperate800,D128 Uncle Sam.jpg,
Babe Ruth/Red Rock Kola,149,(ALL) TIN SIGNS,,,,,,"12.5""W x 16""H",,1,6.33,,,,,1,desperate400,desperate160,D149 Ruth Red Rock.jpg,D149 Ruth Red Rock.jpg,,,desperate800,D149 Ruth Red Rock.jpg,
Route 66 Arizona,169,Automotive|(ALL) TIN SIGNS,,,,,,"11""W x 11""H",,1,6.33,,,,,1,desperate400,desperate160,D169.jpg,D169.jpg,,,desperate800,D169.jpg,
Route 66 California,170,Automotive|(ALL) TIN SIGNS,,,,,,"11""W x 11""H",,1,6.33,,,,,1,desperate400,desperate160,D170.jpg,D170.jpg,,,desperate800,D170.jpg,
Pontiac Service,184,Automotive|(ALL) TIN SIGNS,,,,,,"11.75"" Dia.",,1,6.33,,,,,1,desperate400,desperate160,D184 Pontiac Service.jpg,D184 Pontiac Service.jpg,,,desperate800,D184 Pontiac Service.jpg,
Buick Service,185,Automotive|(ALL) TIN SIGNS,,,,,,"11.75"" Dia.",,1,6.33,,,,,1,desperate400,desperate160,D185 Buick Service.jpg,D185 Buick Service.jpg,,,desperate800,D185 Buick Service.jpg,
