[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
"[u'Ski', u'M', u'Skiing:', u'the', u'art', u'of', u'catching', u'a', u'cold', u'and', u'going', u'broke', u'while', u'rapidly', u'heading', u'nowhere', u'at', u'great', u'personal', u'risk']","6x24 inches

0",Home /|Skiing: the art of catching a cold and going broke.....,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/k/ski_m.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Country Blue board w/ white text |Sage Green board w/ Black text |Red board w/ tan text |Give me the best color combo(s) available ']"
"[u'915DogA', u'Your', u""Dog's"", u'Name', u'with', u'dish', u'and', u'Bone.']","0



4"" X 15"" up to 18"" depending on length of name
Put your dog's name up over their bed or feeding dish",Home /|Your Dog's Name,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/1/915doga.jpg,"[""*Dog's Name"", '', '-- Please Select --|Cream Board |White Board |-- Please Select --|Blue |Green |Pink |Red ']"
"[u'Rustic', u'Sign', u'Company', u'2015', u'Catalog', u'Made', u'in', u'the', u'USA', u'Click', u'on', u'picture', u'and', u'see', u'the', u'Catalog', u'pages']","Jones' Rustic Sign Company 2015 Catalog Click on picture and see the Catalog pages

1",Home /|2015 Catalog,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/o/jonescvr.jpg
[u'6035'],6x36 inches,Home /|Some men see things as they are and ask why. Others dream things that never were and ask why not,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6035.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'Style', u'D', u'The', u'sign', u'is', u'a', u'painted', u'black', u'board', u'with', u'tan', u'letters', u'(as', u'shown)', u'or', u'a', u'cream', u'board', u'with', u'black', u'letters.', u'Final', u'board', u'length', u'depends', u'upon', u'number', u'of', u'letters', u'in', u'your', u'name.', u'Signs', u'come', u'on', u'a', u'Pine', u'board', u'and', u'is', u'intended', u'for', u'inside', u'use', u'only.', u'PLEASE', u'ENTER', u'THE', u'NAME', u'AS', u'YOU', u'WANT', u'IT', u'TO', u'APPEAR', u'ON', u'THE', u'SIGN.', u'IF', u'YOU', u'WANT', u'A', u'S', u'OR', u'AN', u""'S"", u'ON', u'THE', u'END', u'OF', u'THE', u'NAME,', u'PLEASE', u'INCLUDE', u'IT.']","6""X30 up to 36"" depending on letters in your name. This design is selected my many younger families. Great gift for weddings and anniversaries. Get one for yourself, and for your family members. This would look good above your fireplace in the family room.  Our signs are for interior desplay.

 
PLEASE ENTER THE NAME AS YOU WANT IT TO APPEAR ON THE SIGN.  IF YOU WANT A   S  OR AN 'S ON THE END OF THE NAME, PLEASE INCLUDE IT.

0



 ",Home /|The (your Family Name) with Established,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_22.jpg,"['*Family name as you would like it to appear', '', '-- Please Select --|Black board w/ Tan text |Cream board w/ Black text ']"
[u'4036'],"4x24 inches

0",Home /|HUMOR can make a serious difference,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_69.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Mustard board w/ Black text |Country Blue board w/ white text |Give me the best color combo(s) available ']"
[u'1404'],"""Big Box"" Sign 9"" X 42"" tall, Antique look
White Wooden Box with Black Letters",Home /|GROCERIES,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/groceries_2.jpg,"['*Color Combinations', '', '-- Please Select --|Black wood Box, White Letters |White wood Box, Black Letters ']"
[u'877'],"0



4x12 inches",Home /|Coffee Shop w/cup,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/877_1.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'904'],"0



4""x12""
Enjoy the power of positive thinking!!","Home /|Yes, We Can!",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_17.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6087'],"6""X18""",Home /|The Wizard of Ox - a movie about two women fighting over a pair of shoes,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6087.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
[u'R603'],"0




6""x12"" Slats
Comes in White washed, Teal Washed, Yellow Washed or Gray Washed painted box",Home /|Choose happiness,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/6/r603.jpg,"['*Color Combinations', '', '-- Please Select --|Gray washed board w White text |Yellow washed board w White text |Teal washed board w/ White text |White washed board w Gray text |Best color ']"
"[u'Item', u'011']",3x9 inches,Home /|Play Ball! (mini),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/1/011.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'663S', u'custom', u'sign']","0



4""X18"" to 4""X22"" depending up Name inserted.
Maximum of 7 Letters for name. If you want more letters, give us a call at 937-643-1695",Home /|The Great (insert Name) has spoken!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc_0055.jpg,"['*Enter Name', '', '-- Please Select --|As shown |Black Board |Cream Board ']"
"[u'a', u'Woman', u'says,', u""It's"", u'Okay,', u""It's"", u'Fine,', u""Don't"", u'worry', u'about', u'it...']","8""X8"" inches This is a Box sign

0",Home /|Man Tip #17,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc03301.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Give me the best color combo(s) available ']"
[u'6032'],6x18 inches,Home /|Never be so busy that you can't help those around you,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6032.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'4032', u'Nice', u'sign', u'that', u'was', u'requested', u'by', u'Michael.']","4x36 inches

0",Home /|Life is good on the eastern shore.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4032.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'45443', u'Gift', u'Card', u'$150.00']","Can't decide which of our signs would go best with your loved one's decor? Let them make their own selections. Give them one of our Jones' Rustic Signs Gift Cards. We will e-mail them, (or send them a card in the mail), with your message and the gift card amount and instructions on how to redeem your gift.

0",Home /|Gift Card $150.00,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_4.jpg,"['*Send Gift Card Via', 'E-Mail|Home Address', '']"
[u'6046'],"6x24 inches
You never plough a field by turning it over in your mind.",Home /|You never plough a field by turning it over in your mind.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6046_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'45439', u'Gift', u'Card', u'$25.00']","Can't decide which of our signs would go best with your loved one's decor? Let them make their own selections. Give them one of our Jones' Rustic Signs Gift Cards. We will e-mail them, (or send them a card in the mail), with your message and the gift card amount and instructions on how to redeem your gift.

0",Home /|Gift Card $25.00,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_26.jpg,"['*Send Gift Card Via', 'E-Mail|Home Address', '']"
"[u'Ski', u'Q', u'Ski', u'sign']","6x24 inches

0",Home /|Snowboarding... when regular skiing is not lethal enough,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_7.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Country Blue board w/ white text |Sage Green board w/ Black text |Red board w/ tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
[u'6009'],6x18 inches,Home /|Enjoy life...this is not a rehearsal,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6009.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'will', u'you', u'...']","8""X8"" inches Sister will you... Make believe Let me be the princess. Have some tea Keep my secrets. Always be my friend. This is one of our hot selling Box sign

0",Home /|Sister will you ...,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/5825.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Give me the best color combo(s) available ']"
[u'4039'],"4""X18""",Home /|Emerald City,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4039.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Tan text |Green board w/ White text |Burgundy Red board w/ Cream text |Mustard board w/ black text |Country Blue board w/ white text |Give me the best color combo(s) available ']"
[u'4012'],4x24 inches,Home /|Life is good at the Beach,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_2.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'R605'],"0




6""x12"" Slats
Comes in White washed, Teal Washed, Yellow Washed or Gray Washed painted box",Home /|Live simply,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/6/r605.jpg,"['*Color Combinations', '', '-- Please Select --|Gray washed board w White text |Yellow washed board w White text |Teal washed board w/ White text |White washed board w Gray text |Best color ']"
[u'511L'],"6x12 inches Lake-side Memories

0",Home /|Lake-side Memories,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/1/511l.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text ']"
"[u'picture', u'frame.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" box. Fits your 4"" X 6"" photo.
Box picture frame. Handmade and hand painted by one of our artist.",Home /|Vacation Memories,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/a/vacation_memories.jpg,"['*Color Combinations', '', '-- Please Select --|As shown, Blue box, White text ']"
[u'663'],"0



4""X18"" to 4""X22"" depending up Name inserted.
Maximum of 7 Letters for name. If you want more letters, give us a call at 937-643-1695",Home /|The Great Oz has spoken!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/6/663.jpg,"['*Enter Name', '', '-- Please Select --|As shown |Black Board |Cream Board ']"
[u'6078'],"0



6 X 12 inches",Home /|A new pair of shoes...Cinderella,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6078.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Black board w/ Tan text |Sage Green board w/ Black text |Burgundy Red board w/ Tan text |Mustard board w/Black text ']"
[u'6012'],6x18 inches,Home /|Gather friends like flowers,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6012.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'6044'],6x24 inches,"Home /|Whether you think you can or think you can't, You are right.",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6044.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'4041'],"4""X18""",Home /|Follow the Yellow brick road,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4041_sm.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
[u'R302'],"1




12""x12"" Slat Box
Comes in White washed, Teal Washed, Yellow Washed or Gray Washed painted box",Home /|Let the Waves hit your feet & the Sand be your seat.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/3/r302gry.jpg,"['*Color Combinations', '', '-- Please Select --|Gray washed board w White text |Yellow washed board w White text |Teal washed board w/ White text |White washed board w Gray text ']"
[u'6049'],6x18 inches,Home /|The Galley,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6049.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'6041'],"6x18 inches
Well behaved women rarely make history",Home /|Well behaved women rarely make history,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6041_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'5412', u'This', u'is', u'one', u'of', u'our', u'new', u'custom', u'box', u'signs.']","4""X 15"" inches Box is about 1 1/4"" deep. This is one of our new box signs! For custom signs up to 14 letters.

0",Home /|Custom Box Sign - 12 to 14 letters,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_6_6.jpg,"['*Custom Lettering Up to 14 letters not counting spaces or commas.', '', '-- Please Select --|Give me the best color combo(s) available |Cream box w/ Black text |Light Blue box w White text |White box w/ Black text |Black box w/ White text |Sage Green box w/ White text ']"
"[u'Item', u'009']","10x14 inches
This sign takes a lot of time to hand stencil.
Good for the Kitchen",Home /|Milk Dairy Fresh,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/009sm.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'picture', u'frame.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" box. Fits your 4"" X 6"" photo.
Box picture frame. Handmade and hand painted by one of our artist.",Home /|Our Family,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/o/u/our_family_1.jpg,"['*Color Combinations', '', '-- Please Select --|As shown, Black box, White text ']"
[u'6038'],6x30 inches,Home /|Today & Always - AR,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6038.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'110'],3x9 inches,Home /|Believe! with star,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/1/110a.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'948', u'6""X6""']","6""X6""

Item # 948",Home /|Lucky in Love w/ shamrock,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/4/948_wht.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Hunter Green text |Crackle Cream board w/ Hunter Green text |Crackle White board w/ Green text |Hunter Green board w/ Cream text |Black board w/ Cream text |Cream board w/ Black text ']"
"[u'Ski', u'K', u'Ski', u'sign']","6x24 inches

0",Home /|Skiing is a dance and the mountain always leads,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_11.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Country Blue board w/ white text |Sage Green board w/ Black text |Red board w/ tan text |Mustard board w/ black text |Give me the best color combo(s) available ']"
[u'8041'],"8x12

0",Home /|Nobody gets in to see the wizard Not nobody Not no how,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_58.jpg,"['*Color Combinations', '', '-- Please Select --|Country Blue board w/ white text |Give me the best color combo(s) available |Cream board w/ Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Mustard board w/ black text ']"
"[u'Item', u'004']",8x14 inches,Home /|Coffee 5 cents a cup,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/004.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'907', u'Style', u'B', u'The', u'signs', u'are', u'painted', u'boards', u'in', u'either', u'1.)crackle', u'with', u'black', u'letters', u'and', u'frame', u'or', u'2.)black', u'board', u'and', u'frame', u'with', u'tan', u'letters.', u'Final', u'board', u'length', u'depends', u'upon', u'number', u'of', u'letters', u'in', u'your', u'name.', u'Signs', u'come', u'on', u'Pine', u'boards', u'and', u'are', u'intended', u'for', u'inside', u'use', u'only.', u'PLEASE', u'ENTER', u'THE', u'NAME', u'AS', u'YOU', u'WANT', u'IT', u'TO', u'APPEAR', u'ON', u'THE', u'SIGN.', u'IF', u'YOU', u'WANT', u'A', u'S', u'OR', u'AN', u""'S"", u'ON', u'THE', u'END', u'OF', u'THE', u'NAME,', u'PLEASE', u'INCLUDE', u'IT.']","6""X30 up to 36"" depending on your name
Great gift for weddings and anniversaries. Get one for you, and for your kids. This would look good above your fireplace in the family room.

PLEASE ENTER THE NAME AS YOU WANT IT TO APPEAR ON THE SIGN. IF YOU WANT A S OR AN 'S ON THE END OF THE NAME, PLEASE INCLUDE IT.",Home /|The (your Family Name),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_15.jpg,"['*Type in family name as you would like it to appear', '', '-- Please Select --|Crackle Cream board w/ Black text |Black board w/ Tan text ']"
[u'156'],"0



8x12 inches",Home /|Don't Feed the Bears,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/5/156.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'6094', u'6""X18""']","Item 6094

6""X18""",Home /|You should never let the truth get in the way of a good story.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6094_grn_wht.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Hunter Green board w/ White text |Cream board w/ Black text ']"
"[u'569', u'Personalize...', u'Fill', u'in', u'your', u'City', u'and', u'State', u'Minimum', u'order', u'of', u'4,', u'no', u'set', u'up', u'fee']","0



6""x16"" inches",Home /|Happy Holidays from...,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_3.jpg,"['*Happy Holidays from (type in what you want)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Rose text |Crackle White board w/ Black text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
