Up North,104,Home|Up North,4x15 inches,,,,,,,,$19.75,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/0/104.jpg,104.jpg,,"*Color Combinations - (See Color Chart Above)
-- Please Select --|Cream board w/ Black text|Cream board w/ Navy Blue text|Cream board w/ Hunter Green text|Cream board w/ Burgundy Red text|Crackle Cream board w/ Black text|Crackle Cream board w/ Navy Blue text|Crackle Cream board w/ Hunter Green text|Crackle Cream board w/ Burgundy Red text|White board w/ Black text|White board w/ Wedgewood Blue text|White board w/ Sage Green text|White board w/ Rose text|White board w/ Mustard text|Crackle White board w/ Black text|Crackle White board w/ Wedgewood Blue text|Crackle White board w/ Sage Green text|Crackle White board w/ Rose text|Crackle White board w/ Mustard text|Black board w/ Cream text|Navy Blue board w/ Cream text|Hunter Green board w/ Cream text|Sage Green board w/ White text|Sage Green board w/ Black text|Burgundy Red board w/ Cream text|Give me the best color combo(s) available",jonesigns800,104.jpg,
Scrooge lives here,133,Home|Scrooge Lives Here,4x9 inches,,,,,,,,$15.50,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/3/133.jpg,133.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Cream board w/ Black text|Cream board w/ Navy Blue text|Cream board w/ Hunter Green text|Cream board w/ Burgundy Red text|Crackle Cream board w/ Black text|Crackle Cream board w/ Navy Blue text|Crackle Cream board w/ Hunter Green text|Crackle Cream board w/ Burgundy Red text|White board w/ Black text|White board w/ Wedgewood Blue text|White board w/ Sage Green text|White board w/ Rose text|White board w/ Mustard text|Crackle White board w/ Black text|Crackle White board w/ Wedgewood Blue text|Crackle White board w/ Sage Green text|Crackle White board w/ Rose text|Crackle White board w/ Mustard text|Black board w/ Cream text|Navy Blue board w/ Cream text|Hunter Green board w/ Cream text|Sage Green board w/ White text|Sage Green board w/ Black text|Burgundy Red board w/ Cream text|Give me the best color combo(s) available",jonesigns800,133.jpg,
No Whining,147,Home|No Whining,"4x15 inches
One of our best selling signs for everyone, especially the student.",,,,,,,,$19.55,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/4/147_1.jpg,147_1.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Cream board w/ Black text|Cream board w/ Navy Blue text|Cream board w/ Hunter Green text|Cream board w/ Burgundy Red text|Crackle Cream board w/ Black text|Crackle Cream board w/ Navy Blue text|Crackle Cream board w/ Hunter Green text|Crackle Cream board w/ Burgundy Red text|White board w/ Black text|White board w/ Wedgewood Blue text|White board w/ Sage Green text|White board w/ Rose text|White board w/ Mustard text|Crackle White board w/ Black text|Crackle White board w/ Wedgewood Blue text|Crackle White board w/ Sage Green text|Crackle White board w/ Rose text|Crackle White board w/ Mustard text|Black board w/ Cream text|Navy Blue board w/ Cream text|Hunter Green board w/ Cream text|Sage Green board w/ White text|Sage Green board w/ Black text|Burgundy Red board w/ Cream text|Give me the best color combo(s) available",jonesigns800,147_1.jpg,
"4"" Custom City/Location Name Signs (Price per letter) 4 inches tall Starting at $20.95",custom,"Home|4"" Custom City/Location Name Signs (Price Per Letter) 4 Inches Tall Starting At $20.95","Board size 4""X12"", 14, 16 up to 4""X26"" depending on number of letters in Name.

6 letters $20.95...                                  16 letters $32.95

7 letters $23.95..                                    17 letters  $33.95

8 letters $24.95..                                    18 letters   $34.95

9 letters $25.95..                                    19 letters   $35.95

10 letters $26.95..                                  20 letter   $36.95

11 letters $27.95..                                  21 letter   $37.95

12 letters $28.95                                    22 letter   $38.95

13 letters $29.95                                    23 letter   $39.95

14 letters  $30.95                                   24 letter   $40.95

15 letters $31.95                                     25 letters $41.95

If more than 25 letters give us a call at 888-643-1695. If you need a particular set of dimensions phone us: 888-643-1695 Mon - Fri 8AM - 5PM Eastern time.",,,,,,,,$20.95,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/4/0/409_newport_ricomp.jpg,409_newport_ricomp.jpg,,"*Enter Location Name Or Wording
-- Please Select --|6 or fewer letters, numbers or characters or less|7 letters, numbers or charatcers +$3.00|8 letters, numbers, or characters +$4.00|9 letters, numbers, or characters +$5.00|10 letters, numbers, or characters +$6.00|11 letters, numbers, or characters +$7.00|12 letters, numbers, or characters +$8.00|13 letters, numbers, or characters +$9.00|14 letters, numbers, or charactors +$10.00|15 letters, numbers, or characters +$11.00|16 letters, numbers, or characters +$12.00|17 letters, numbers, or characters +$13.00|18 letters, numbers, or characters +$14.00|19 letters, numbers, or characters +$15.00|20 letters, numbers, or characters +$16.00|21 letters, numbers, or characters +$17.00|22 letters, numbers, or characters +$18.00|23 letters, numbers, or characters +$19.00|24 letters, numbers, or characters +$20.00|25 letters, numbers, or characters +$21.00|-- Please Select --|Give me the best color combo(s) available|Crackle Cream board w/ Black text & Frame|Crackle White board w/ Black text & Frame|Crackle White board w/ Burgundy text & Frame|Cream board w/ Black text & Frame|White board w/ Black text & Frame|Black board w/ Cream text Black Frame|Cream board w/ Navy Blue text & Frame|Cream board w/ Hunter Green text & Frame|Cream board w/ Burgundy Red text & Frame|Crackle Cream board w/ Navy Blue text & Frame|Crackle Cream board w/ Hunter Green text & Frame|Crackle Cream board w/ Burgundy Red text & Frame|White board w/ Wedgewood Blue text & Wht Frame|Crackle White board w/ Wedgewood Blue text & Wht Frame|Navy Blue board w/ Cream text & Navy Frame|Hunter Green board w/ Cream text & Green Frame|Burgundy Red board w/ Cream text & Red Frame",jonesigns800,409_newport_ricomp.jpg,
Merry Christmas-bk,157,Home|Merry Christmas-bk,6x26,,,,,,,,$40.80,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/5/157_1.jpg,157_1.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Crackle White board w/ Black text|Black board w/ Cream text|Give me the best color combo(s) available",jonesigns800,157_1.jpg,
Wipe Your Paws,159,Home|Wipe Your Paws,"4x20

Good sign if your dog can read. Also reminds adults and kids that can read.",,,,,,,,$20.99,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/5/159_2.jpg,159_2.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Cream board w/ Black text|Cream board w/ Navy Blue text|Cream board w/ Hunter Green text|Cream board w/ Burgundy Red text|Crackle Cream board w/ Black text|Crackle Cream board w/ Navy Blue text|Crackle Cream board w/ Hunter Green text|Crackle Cream board w/ Burgundy Red text|White board w/ Black text|White board w/ Wedgewood Blue text|White board w/ Sage Green text|White board w/ Rose text|White board w/ Mustard text|Crackle White board w/ Black text|Crackle White board w/ Wedgewood Blue text|Crackle White board w/ Sage Green text|Crackle White board w/ Rose text|Crackle White board w/ Mustard text|Black board w/ Cream text|Navy Blue board w/ Cream text|Hunter Green board w/ Cream text|Sage Green board w/ White text|Sage Green board w/ Black text|Burgundy Red board w/ Cream text|Give me the best color combo(s) available",jonesigns800,159_2.jpg,
Imagine,162,Home|Imagine,4x12,,,,,,,,$15.50,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/1/6/162.jpg,162.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Cream board w/ Black text|Cream board w/ Navy Blue text|Cream board w/ Hunter Green text|Cream board w/ Burgundy Red text|Crackle Cream board w/ Black text|Crackle Cream board w/ Navy Blue text|Crackle Cream board w/ Hunter Green text|Crackle Cream board w/ Burgundy Red text|White board w/ Black text|White board w/ Wedgewood Blue text|White board w/ Sage Green text|White board w/ Rose text|White board w/ Mustard text|Crackle White board w/ Black text|Crackle White board w/ Wedgewood Blue text|Crackle White board w/ Sage Green text|Crackle White board w/ Rose text|Crackle White board w/ Mustard text|Black board w/ Cream text|Navy Blue board w/ Cream text|Hunter Green board w/ Cream text|Sage Green board w/ White text|Sage Green board w/ Black text|Burgundy Red board w/ Cream text|Give me the best color combo(s) available",jonesigns800,162.jpg,
Promise little do much,4015,Home|Promise Little Do Much,4x18 inches,,,,,,,,$21.95,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/4/0/4015.jpg,4015.jpg,,"*Color Combinations - See Color Chart Above
-- Please Select --|Burgundy Red board w/ Tan text|Black board w/ Tan text|Sage Green board w/ Black text|Cream board w/ Black text|Mustard board w/ Black text|Country Blue board w/ White text|Give me the best color combo(s) available",jonesigns800,4015.jpg,
Pumpkin (Tall),#245,Home|Pumpkin (Tall),9x4,,,,,,,,$15.50,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/2/4/245.jpg,245.jpg,,,jonesigns800,245.jpg,
Pumpkin (Squat),#246,Home|Pumpkin (Squat),5x6,,,,,,,,$15.50,,,,,,jonesigns400,jonesigns160,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/17f82f742ffe127f42dca9de82fb58b1/2/4/246.jpg,246.jpg,,,jonesigns800,246.jpg,
