Antigua Rainforest Paper Shopping Bags (Pup),ANT-P,Home > Bags - All Occasion Bags > Antigua Rainforest Paper Shopping Bags >,"Antigua Rainforest Collection

Made from 100% recycled kraft containing 95% post-consumer & 5% post-industrial materials.

250/case.
Price/case.","Antigua Rainforest Paper Shopping Bags (Pup)
5 1/4"" x 3 1/2"" x 8 1/4"" - 250/case",1,$129.90,http://www.packagingsource.com/resize/images/Antigua-Rainforest.jpg?lr=t&bw=500&bh=500,none
Antigua Rainforest Paper Shopping Bags (Cub),ANT-C,Home > Bags - All Occasion Bags > Antigua Rainforest Paper Shopping Bags >,"Antigua Rainforest Collection

Made from 100% recycled kraft containing 95% post-consumer & 5% post-industrial materials.

250/case.
Price/case.","Antigua Rainforest Paper Shopping Bags (Cub)
8"" x 4 3/4"" x 10 1/2"" - 250/case",1,$127.90,http://www.packagingsource.com/resize/images/Antigua-Rainforest.jpg?lr=t&bw=500&bh=500,none
Antigua Rainforest Paper Shopping Bags (Escort),ANT-E,Home > Bags - All Occasion Bags > Antigua Rainforest Paper Shopping Bags >,"Antigua Rainforest Collection

Made from 100% recycled kraft containing 95% post-consumer & 5% post-industrial materials.

250/case.
Price/case.","Antigua Rainforest Paper Shopping Bags (Escort)
12 5/8"" x 6 1/4"" x 15 1/2"" - 250/case",1,$164.90,http://www.packagingsource.com/resize/images/Antigua-Rainforest.jpg?lr=t&bw=500&bh=500,none
Antigua Rainforest (NonWoven Tote),ANT-NW-13,Home > Bags - All Occasion Bags > Antigua Rainforest Paper Shopping Bags >,"Antigua Rainforest Collection
Reusable Non-Woven Poly Bags
25/case.
Price/case.","Antigua Rainforest (NonWoven Tote)
13"" x 5"" x 13"" - 25/case",1,$29.90,http://www.packagingsource.com/resize/images/Antigua-NonWoven-Tote.jpg?lr=t&bw=500&bh=500,none
Antigua Rainforest (NonWoven Tote),ANT-NW-12,Home > Bags - All Occasion Bags > Antigua Rainforest Paper Shopping Bags >,"Antigua Rainforest Collection
Reusable Non-Woven Poly Bags
25/case.
Price/case.","Antigua Rainforest (NonWoven Tote)
12 5/8"" x 7"" x 15"" 1/2 - 25/case",1,$33.90,http://www.packagingsource.com/resize/images/Antigua-NonWoven-Tote.jpg?lr=t&bw=500&bh=500,none
Aqua Gloss Paper Shopping Bags (Cub),AQUA-C,Home > Bags - All Occasion Bags > Aqua Gloss Shopping Bags >,"Aqua Gloss Collection Shopping Bags
Packaging Source Exclusive
100 bags per case
Price per case

Made in the USA","Aqua Gloss Paper Shopping Bags (Cub)
8"" x 5"" x 10"" -100/case",1,$49.90,http://www.packagingsource.com/resize/Shared/Images/Product/Aqua-Gloss-Paper-Shopping-Bags-Cub/Aqua-Gloss-Shopping-Bags.jpg?lr=t&bw=500&bh=500,none
Aqua Gloss Paper Shopping Bags (Vogue),AQUA-V,Home > Bags - All Occasion Bags > Aqua Gloss Shopping Bags >,"Aqua Gloss Collection Shopping Bags
Packaging Source Exclusive
100 bags per case
Price per case

Made in the USA","Aqua Gloss Paper Shopping Bags (Vogue)
16"" x 6"" x 13"" - 100/case",1,$59.80,http://www.packagingsource.com/resize/Shared/Images/Product/Aqua-Gloss-Paper-Shopping-Bags-Cub/Aqua-Gloss-Shopping-Bags.jpg?lr=t&bw=500&bh=500,none
Aqua Gloss Paper Shopping Bags (Queen),AQUA-Q,Home > Bags - All Occasion Bags > Aqua Gloss Shopping Bags >,"Aqua Gloss Collection Shopping Bags
Packaging Source Exclusive
100 bags per case
Price per case

Made in the USA","Aqua Gloss Paper Shopping Bags (Queen)
16"" x 6"" x 19"" - 100/case",1,$69.90,http://www.packagingsource.com/resize/Shared/Images/Product/Aqua-Gloss-Paper-Shopping-Bags-Cub/Aqua-Gloss-Shopping-Bags.jpg?lr=t&bw=500&bh=500,none
Aruba Paper Shopping Bags (Pup),ARU-P,Home > Bags - All Occasion Bags > Aruba Paper Shopping Bags >,"Aruba Collection

Made from 100% recycled kraft containing 95% post-consumer & 5% post-industrial materials.

100/case.
Price/case.","Aruba Paper Shopping Bags (Pup)
5 1/4"" x 3 1/2"" x 8 1/4"" - 100/case",1,$59.90,http://www.packagingsource.com/resize/images/Aruba-Collection.jpg?lr=t&bw=500&bh=500,none
Aruba Paper Shopping Bags (Cub),ARU-C,Home > Bags - All Occasion Bags > Aruba Paper Shopping Bags >,"Aruba Collection

Made from 100% recycled kraft containing 95% post-consumer & 5% post-industrial materials.

250/case.
Price/case.","Aruba Paper Shopping Bags (Cub)
8"" x 4 3/4"" x 10 1/2"" - 250/case",1,$129.90,http://www.packagingsource.com/resize/images/Aruba-Collection.jpg?lr=t&bw=500&bh=500,none
