Pvt Label Bee Bar Display,DPL1,PRIVATE LABEL,"""Inspiring Business"" They remember your great customer service, they know you carry the best merchandise, but they can't quite remember the name of your store! Keep the good experience fresh in their minds, along with your logo and contact information on these stunning Bee Bar tins. Beautifully embossed and artfully designed, these tins become customer keepsakes along with your own vital business information. They'll relish the experience - they'll remember you! One case of 18 Large Private Label Bee Bars for $117.00 each. Three cases of 18 Large Private Label Bee Bars for $106.25 each. If you have already set up your labels with us, go ahead and order - Please let us know any special requests in the notes when you check out! Interested? Here are some things you need to know: 1) There is a one-time set-up fee of $30.00.  2) These are printed with black ink on a gold foil label. Clear, defined lines work best. 3) Be prepared to e-mail us your logo for the center of the label, and your contact information for the outside perimeter of the label. 4) Contact sheryl@honeyhousenaturals.com or call at 253-926-8193 to get started!",,,,,,,1,117.00,,,,,1,honeyhouse400,honeyhouse160,mn1_002371.jpg,mn1_002371.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002371.jpg,,honeyhouse800,mn1_002371.jpg
Honey House Fresh Bee Butter Tube/12 Cust choice+tester,DLTBB12C,LOTIONS,"Choose your own fragrances for this Bee Butter Cream set of 12 - 4 ounce tubes plus 1 free Tester!  Enjoy our famous and oh so rich formula; bee kind to your skin all over with this lotion of indulgent creamy Bee Butter. A little goes a long way! Precious Honey, Beeswax and Royal Jelly, the ""nectar of youth"" for the Queen Bee, naturally retains moisture in thirsty skin cells. As you massage it into your own royal skin, you will sense the restorative, soothing influence of all things natural. Indulge. Enjoy. Indulge again!   
Let us know your choice of fragrances including Tester in the ""Notes"" section at checkout. 
View Bee Butter Cream Tube Ingredients",,,,,,,1,57.00,,,,,1,honeyhouse400,honeyhouse160,mn1_002365.jpg,mn1_002365.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002365.jpg,,honeyhouse800,mn1_002365.jpg
Honey House Fresh Bee Butter Tube/12 + tester,DLTBB12,LOTIONS,"Bee Butter Cream now comes in a smaller set of 12 - 4 ounce tubes plus 1 free Tester!  Enjoy our famous and oh so rich formula; bee kind to your skin all over with this lotion of indulgent creamy Bee Butter. A little goes a long way! Precious Honey, Beeswax and Royal Jelly, the ""nectar of youth"" for the Queen Bee, naturally retains moisture in thirsty skin cells. As you massage it into your own royal skin, you will sense the restorative, soothing influence of all things natural. Indulge. Enjoy. Indulge again!   
This set includes three (3) fragrances:  4 VANILLA, 4 CITRUS, 4 HAWAIIAN plus 1 FREE tester.  (Let us know your tester fragrance in the ""Notes"" section at checkout) 
View Bee Butter Cream Tube Ingredients",,,,,,,1,57.00,,,,,1,honeyhouse400,honeyhouse160,mn1_002364.jpg,mn1_002364.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002364.jpg,,honeyhouse800,mn1_002364.jpg
Bee Manly Wooden Box Display,DMWOOD,NEW! BEE MANLY WOOD DISPLAY,"L I M I T E D   E D I T I O N !  Only a few boxes left!  
Each Display contains:
4 each Bee Manly Hands Lotion in Smoky Cedar, Tea Tree and Naked
4 each Bee Manly Beard Balm in Smoky Cedar and Citrus
4 each Bee Manly Beard Elixir in Smoky Cedar and Citrus
4  each Bee Manly Foot Bar twist-up tubes in Vigorous and 1 Naked
1 Wooden Box 11""W x11.5""L x 4.5""H 
2 wooden dowels to angle and tilt the back
8.5""x 11"" marketing poster 
 ",,,,,,,1,184.50,,,,,1,honeyhouse400,honeyhouse160,mn1_002360.jpg,mn1_002360.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002360.jpg,,honeyhouse800,mn1_002360.jpg
Lavender Set-Cream & Sm Bee Bar,GLL2,GIFTS,"Long known for its relaxing benefits, Lavender is now available in our rich, thick Bee Butter Cream.  Paired with our Small Lavender Bee Bar, not only will your skin be truly and naturally moisturized all over, but you will be able to release any anxiety through the calming, herbal fragrance of lavender.  A truly thoughtful gift!
 View Honey House Fresh Bee Butter Ingredients
View Small Bee Bar Ingredients",,,,,,,1,8.75,,,,,1,honeyhouse400,honeyhouse160,mn1_002347.jpg,mn1_002347.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002347.jpg,,honeyhouse800,mn1_002347.jpg
Lavender Gift Set-Mist & Cream,GML2,GIFTS,"Ahh, Lavender!!  You love our Lavender Room & Linen Mist, now pair it with our thick, rich Lavender Bee Butter Cream for a relaxing, sweet, natural Lavender haze!  The perfect gift for all Lavender Lovers in your Life!
 View Honey House Fresh Bee Butter Ingredients",,,,,,,1,9.75,,,,,1,honeyhouse400,honeyhouse160,mn1_002346.jpg,mn1_002346.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002346.jpg,,honeyhouse800,mn1_002346.jpg
LavenderGift Set-4 Products,GLL4,GIFTS,"Lavender Paradise!  All Natural essential lavender oils are combined in so many different ways to treat your skin with moisture and fragrance that will keep you relaxed and feeling good all day!  The Triple-milled Lavender Soap smells so sweet and lasts a long, long time.  The Large Lavender Bee Bar is perfect for your hands, feet and elbows - then smooth in the rich, thick Lavender Bee Butter everywhere else.  Finish things off with a spritz or two of Lavender Room & Linen Mist in the air and on your clothes.  Yes.  Paradise. Ahhh
View Honey House Fresh Bee Butter Ingredients
View Honey Blossom Soap Ingredients
View Large Bee Bar Ingredients",,,,,,,1,18.50,,,,,1,honeyhouse400,honeyhouse160,mn1_002345.jpg,mn1_002345.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002345.jpg,,honeyhouse800,mn1_002345.jpg
Lavender Gift Set-3 products!,GLL3,GIFTS,"Are you a Lavender Lover?  Do you know someone who is?  Get your Lavender Fix with this natural, fragrant trio!  Your skin is refreshed with our triple milled Lavender Soap, then moisturized and softened with our oh, so rich Bee Butter Cream!  Finish off with a spritz of lavender on your clothes and your day begins stress free!
 View Honey House Fresh Bee Butter Ingredients
View Honey Blossom Soap Ingredients",,,,,,,1,12.25,,,,,1,honeyhouse400,honeyhouse160,mn1_002344.jpg,mn1_002344.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_002344.jpg,,honeyhouse800,mn1_002344.jpg
Beard Balm & Elixir Display-Cust Choice,ODMBEC,BEE MANLY,"Save $5.00!  You choose the fragrances for this Set of 16 Balms and Elixirs.  FREE Balm tester. Leave a note at checkout for your fragrance choice for Balms, Elixirs and Tester.
Organically Certified products!  Made with Argan oil, Shea oil, Jojoba oil, Honey, Royal Jelly, Propolis, Vitamin E and more wonderful emollients! These products were created to soften beard hair, add shine, and will soothe and condition irritated skin.  
Smoky Cedar (fresh wood shavings)
Brisk Citrus  (tangerine/orange)
View Bee Manly Beard Elixer Ingredients",,,,,,,1,91.00,,,,,1,honeyhouse400,honeyhouse160,mn1_001333.jpg,mn1_001333.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_001333.jpg,,honeyhouse800,mn1_001333.jpg
Beard Balm & Elixir Display,ODMBE16,BEE MANLY,"Save $5.00!  This Set of 16 includes 8 Balm & 8 Elixir of 4 Smoky Cedar & 4 Brisk Citrus with FREE Balm tester. Leave a note at checkout for your fragrance choice for Balm tester.
Organically Certified products!  Made with Argan oil, Shea oil, Jojoba oil, Honey, Royal Jelly, Propolis, Vitamin E and more wonderful emollients! These products were created to soften beard hair, add shine, and will soothe and condition irritated skin.  
Smoky Cedar (fresh wood shavings)
Brisk Citrus  (tangerine/orange)
View Bee Manly Beard Elixer Ingredients",,,,,,,1,91.00,,,,,1,honeyhouse400,honeyhouse160,mn1_001331.jpg,mn1_001331.jpg,https://www.honeyhousenaturals.com/DSN/wwwhoneyhousenaturalscom/Commerce/ProductImages/mn1_001331.jpg,,honeyhouse800,mn1_001331.jpg
