16oz. Container Candles - (2) WS,P,Container Candles|16oz. Container Candles - (2) WS,"Product Code: 16CC-2ws
Availability: In Stock
Description: 16oz. jar Candles.
Use the Fragrance menu to see available selections, if there is a scent not listed on our website and you know we have it, just put a note in the note section at the bottom of the order...
Thank you",,,,,,,2,$17.50 ,,,,,,,https://aprimitiveglow.com/image/cache/data/16oz-501x501.jpg,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Cookie Tarts - WS Bulk Bag 20,P,Tarts & Wax Melts|Cookie Tarts - WS Bulk Bag 20,"Product Code: CTarts-WS22
Availability: In Stock
Description:
Bulk Bag - 20 tarts, perfect for selling from an old fashioned cookie jar
 ",,,,,,,1,$40.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/cookietart-501x501.JPG,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Berry Hotcakes|Cou
4 ounce Room Spray - WS,P,Sprays|4 ounce Room Spray - WS,"Product Code: Spray-WS
Availability: In Stock
Description:",,,,,,,3,$15.75 ,,,,,,,https://aprimitiveglow.com/image/cache/data/roomspray-501x501.jpg,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Crumble Tart Wax Melts WS,P,Tarts & Wax Melts|Crumble Tart Wax Melts WS,"Product Code: Crtart
Availability: In Stock
Description: Highly scented wax melts...tart crumbles come in kraft color paper bag with window in the front, approximately 6 ounces of wax tarts for your tart warmer, our crumbles are available in all our amazing scents",,,,,,,4,$21.80 ,,,,,,,https://aprimitiveglow.com/image/cache/data/bagtarts-501x501.jpg,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Medium Grubby Can - WS,P,Container Candles|Medium Grubby Can - WS,"Product Code: MedCan-WS
Availability: In Stock
Description:",,,,,,,2,$22.00 ,,,,,,,None,,,,Scent Choice:|Hillbilly Cider|Scent Choice:|Hillbilly Cider|Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Can
Small Pillar - WS,P,Pillar Candles|Small Pillar - WS,"Product Code: SmPilWh
Availability: In Stock
Description:",,,,,,,2,$16.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/blackberrypiepillar-501x501.JPG,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Large Pillar Candle - WS,P,Pillar Candles|Large Pillar Candle - WS,"Product Code: 117R-WS
Availability: In Stock
Description:",,,,,,,2,$28.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/lrgpillar-501x501.JPG,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Medium Pillar - WS,P,Pillar Candles|Medium Pillar - WS,"Product Code: MedPil-WS
Availability: In Stock
Description:",,,,,,,2,$22.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/blackberrypiepillar-501x501.JPG,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
Muffin Pillar Candles - WS,P,Pillar Candles|Muffin Pillar Candles - WS,"Product Code: MC-WS
Availability: In Stock
Description:",,,,,,,2,$11.50 ,,,,,,,https://aprimitiveglow.com/image/cache/data/Muffin-Candle-501x501.jpg,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
16oz. Container Candles Market Jars creamy white coating,P,Container Candles|16oz. Container Candles Market Jars creamy white coating,"Product Code: 16CC-2ws
Availability: In Stock
Description: 16oz. jar Candles.
Use the Fragrance menu to see available selections, if there is a scent not listed on our website and you know we have it, just put a note in the note section at the bottom of the order...
Thank you

in the notes section please list your labels or call us for more info
304-755-5366",,,,,,,2,$17.50 ,,,,,,,https://aprimitiveglow.com/image/cache/data/16oz-501x501.jpg,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cinnamon Bun|Country Ber
3 Wick Candy Corn Cake Candle,P,Seasonal Candles|3 Wick Candy Corn Cake Candle,"Product Code: 3-Wick-Jack-O-Lantern
Availability: In Stock
Description:
3 wick cake candle, size is 6 inches around and 3 1/2 tall...great for centerpieces",,,,,,,1,$34.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/3wick-501x501.jpg,,,,
Short Medium Pillar 3 x 4 - WS,P,Pillar Candles|Short Medium Pillar 3 x 4 - WS,"Product Code: 120R-WS
Availability: In Stock
Description:",,,,,,,2,$20.00 ,,,,,,,https://aprimitiveglow.com/image/cache/data/blackberrypiepillar-501x501.JPG,,,,Scent Choice:|Apple Butter Harvest|Apple Butter Harvest|Apple Butter Pumpkin Pie|Banana Nut Bread|Birthday Cake|Blackberry Pie|Blueberry Cobbler|Bourbon Roasted Pecans|Buttercream Frosting|Candy Corn|Caramel Apples|Christmas Cookie|Cinna Apple|Cin
