"Stripe Ceramic Vase (3.9"" x 3.9"" x 9.9"") - UC10502AV",UC10502AV,,Product Sku: UC10502AV,,,,,,,1,$11.00,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/UC10502AV_1024x1024@2x.jpg?v=1596130396,UC10502AV_1024x1024@2x.jpg?v=1596130396,,,UC800,UC10502AV_1024x1024@2x.jpg?v=1596130396,
"Wood Paddle with Rope (5' 5"") - White Beach - OK 595 44",OK 595 44,,"Product SKU: OK 595 44
Product Dimensions: 65 inch long by 6.125 inch wide by 2.25 inch deep",,,,,,,1,$76.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/OK59544_1024x1024@2x.jpg?v=1637259534,OK59544_1024x1024@2x.jpg?v=1637259534,,,UC800,OK59544_1024x1024@2x.jpg?v=1637259534,
Buoy Ornament Set - Assortment #6 - BK GR6,BK GR6,,"Product Sku: BK GR6
Product Dimensions: Each buoy measures at 1.25 diameter by 4.75 inch tall",,,,,,,1,$21.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/BKGR6_1024x1024@2x.jpg?v=1597158166,BKGR6_1024x1024@2x.jpg?v=1597158166,,,UC800,BKGR6_1024x1024@2x.jpg?v=1597158166,
Anchor (White & Navy) - WJ AN22 NAVS,WJ AN22 NAVS,,"Product Sku: WJ AN22 NAVS
Product Dimensions: 21.5 inch high by 17.5 inch wide",,,,,,,1,$43.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/WJAN22NAVS_1024x1024@2x.jpg?v=1557340896,WJAN22NAVS_1024x1024@2x.jpg?v=1557340896,,,UC800,WJAN22NAVS_1024x1024@2x.jpg?v=1557340896,
Whale (White) - WJ WH32 W,WJ WH32 W,,"Product Sku: WJ WH32 W
Product Dimensions: 32 inch wide by 13 inch high by 1/2 inch deep",,,,,,,1,$40.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/WJ_WH32_W_1024x1024@2x.jpg?v=1557340885,WJ_WH32_W_1024x1024@2x.jpg?v=1557340885,,,UC800,WJ_WH32_W_1024x1024@2x.jpg?v=1557340885,
"Wood Paddle with Rope (5' 5"") - Solid Natural - OK 595 43",OK 595 43,,"Product SKU: OK 595 43
Product Dimensions: 65 inch long by 6.125 inch wide by 2.25 inch deep",,,,,,,1,$76.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/OK59543_1024x1024@2x.jpg?v=1637259545,OK59543_1024x1024@2x.jpg?v=1637259545,,,UC800,OK59543_1024x1024@2x.jpg?v=1637259545,
At the beach - Sometimes I sit and think..and sometimes I just sit - SS 942,SS 942,,"Product Sku: SS 942
Product Dimensions: 4 inch high by 24 inch wide",,,,,,,1,$21.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/SS942_1024x1024@2x.jpg?v=1605630622,SS942_1024x1024@2x.jpg?v=1605630622,,,UC800,SS942_1024x1024@2x.jpg?v=1605630622,
"Stripe Ceramic Vase (5.9"" x 5.9"" x 16"") - UC15806AH",UC15806AH,,Product Sku: UC15806AH,,,,,,,1,$26.40,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/UC15806AH_1024x1024@2x.jpg?v=1596130545,UC15806AH_1024x1024@2x.jpg?v=1596130545,,,UC800,UC15806AH_1024x1024@2x.jpg?v=1596130545,
"Wood Paddle with Rope (5' 5"") - Solid White - OK 595 45",OK 595 45,,"Product SKU: OK 595 45
Product Dimensions: 65 inch long by 6.125 inch wide by 2.25 inch deep",,,,,,,1,$76.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/OK59545_1024x1024@2x.jpg?v=1637259530,OK59545_1024x1024@2x.jpg?v=1637259530,,,UC800,OK59545_1024x1024@2x.jpg?v=1637259530,
"12"" Buoy (Grey/Navy/Coral stripe) - BK 990 29",BK 990 29,,"Product Sku: BK 990 29
Product Dimensions: 3.75 inch by 3.75 inch base by 12 inch tall",,,,,,,1,$31.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/BK99029_1024x1024@2x.jpg?v=1637259658,BK99029_1024x1024@2x.jpg?v=1637259658,,,UC800,BK99029_1024x1024@2x.jpg?v=1637259658,
"12"" Buoy (Navy, White, with Red Lobster) - BK 990 24",BK 990 24,,"Product Sku: BK 990 24
Product Dimensions: 3.75 inch by 3.75 inch base by 12 inch tall",,,,,,,1,$31.95,,,,,1,UC400,UC160,https://cdn.shopify.com/s/files/1/0070/1018/9375/products/BK_990-24_1024x1024@2x.jpg?v=1557340881,BK_990-24_1024x1024@2x.jpg?v=1557340881,,,UC800,BK_990-24_1024x1024@2x.jpg?v=1557340881,
