Lemon Bomb,"
HomeBody BalmLemon Bomb
","
Lips, face, hands, elbows, belly.  This amazing ALL NATURAL handmade recovery balm works anywhere that you need nuclear-powered, moisturizing action.  It's filled with just a ton of incredible ingredients to rock your world!
Skin Properties

Organic Cocoa Butter - a natural moisturizer
Beeswax - contains Vitamin A and provides long-term moisturizing, actually locking moisture into the skin
Unrefined Shea Butter - skin moisturizing, anti-aging and healing
Coconut Oil - Moisturizing, antiviral, antiaging
Rosemary Extract - Antioxidant
Sunflower Oil - Moisturizing, antioxidant
Lecithin - Emollient, antioxidant
Emulsifying Wax - helps the oil penetrate the skin, thereby replacing lost moisture
Lemon Essential Oil - stimulating, calming, anti-infection, astringent, detoxifying, antiseptic, disinfectant, sleep inducing, and antifungal

",1,"
                        $18.95
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/140/images/592/LemonBomb__56373.1439772513.600.600.jpg?c=2
Mama Balm,"
HomeBody BalmMama Balm
","
Lips, face, hands, elbows, belly.  This amazing ALL NATURAL handmade recovery balm works anywhere that you need nuclear-powered, moisturizing action.  Originally formulated for pregnant mommies, it's got no added anything...just a ton of incredible ingredients to rock your world!
Skin Properties

Organic Cocoa Butter - a natural moisturizer
Beeswax - contains Vitamin A and provides long-term moisturizing, actually locking moisture into the skin
Unrefined Shea Butter - skin moisturizing, anti-aging and healing
Coconut Oil - Moisturizing, antiviral, antiaging
Rosemary Extract - Antioxidant
Sunflower Oil - Moisturizing, antioxidant
Lecithin - Emollient, antioxidant
Emulsifying Wax - helps the oil penetrate the skin, thereby replacing lost moisture

",1,"
                        $18.95
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/139/images/586/MamaBomb__90853.1439766870.600.600.jpg?c=2
Lemon Scone Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsLemon Scone Crush On You Sugar Scrub
","
Revive and Rejoice
Really, what’s better than the smell of a fresh-baked scone? How ‘bout the smell of a fresh-baked scone combined with the zippy tartness of lemon zest? That’d be our answer, which is just what this particular version of Crush On You (our rave-reviewed handmade sugar scrub) smells like.
It smells so nice, in fact, that it almost doesn’t matter that it also scrubs cleaner than anything we’ve ever tried while leaving you perfectly moisturized. Except that, of course, it does matter. Because Crush On You is more than a sugar scrub. We combine pure sugar with unrefined shea butter, rice bran oil and our imported pH-balanced soap to deliver a unique exfoliating-moisturizing-cleansing experience that has the texture of warm, fresh cookie batter, not a soupy, oily pool of sugar.
Great in the shower, in the kitchen (though we make a kitchen-specific soapy sugar scrub, Chef’s Scrub, too), in the bath and on kids that have decided laundry markers make great fake-tattoo application devices (don’t ask how we know).
Crush On You sugar scrubs are naturally colored using FDA-approved cosmetic grade mica, which is mined and crushed into a fine power. No heavy metals (or parabens, or phthalates, or petroleum products, or animal products) are present, ever.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/100/images/538/Lemon_Scone_Crush_On_You__37704.1400884165.600.600.jpg?c=2
Ruby Rock Star Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsRuby Rock Star Crush On You Sugar Scrub
","
Own the Room - Run the Bath
Sun-ripened ruby red grapefruits, freshly squeezed, served in a Baccarat goblet, garnished with black orchid. Sound good? We think so too, and that image informed the design of our Ruby Rock Star fragrance, one of our most popular.
But the fragrance just sets the stage for the rock star version of Crush On You, our handmade sugar scrub. As with the other scents, Ruby Rock Star delivers an amazing exfoliating experience (thanks, sugar) as well as deep moisturizing regardless of how often you bathe with it (gracias, rice bran oil and unrefined shea butter), and a clean, grease-free finish (domo arigato, Mr. Rosoapo).
Great for use at every sink, tub and shower in the house, it's effective on every body part from foot to face. Plus, we hear its ability to remove sharpie ink from autograph-signing finger tips (and to clean groupie cooties from rock star heiny) is without peer.
So feel free to party like a rock star – we’ll help clean up the mess.
PS: We also make both a perfume and a handmade Pop Soap in the same Ruby Rock Star scent, so you can live large no matter what you're doing.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/102/images/541/Ruby_Rock_Star_Crush_On_You__05541.1400884221.600.600.jpg?c=2
Sexy Laundry Day Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsSexy Laundry Day Crush On You Sugar Scrub
","
Fresh and Floral - Vibrant and Sexy
Regularly topping our sugar scrub best seller chart (we’re speaking figuratively here: we don’t actually have charts hanging on walls) Sexy Laundry Day is one of those scents that we have no intention of discontinuing (if for no other reason than to avoid angering certain possibly over-zealous fans of the scent). But why is it so popular? Maybe the woman who named Crush On You, way back when it was first created it, can explain it.
“The scent makes me start singing ‘Fly Me To The Moon’ in the shower,” she says. Wait, what? Back-story: the woman to whom we’re referring (we’ll call her Ethelwyn for the purposes of this narrative) is a close relative of Absolute Soap's original co-founders Joanna and Bradford Schmidt. While debating various names for their new handmade sugar scrub, Ethelywn turned to Joanna and said she loved it so much it made her start singing the song “I’ve Got A Crush On You.” Sensing a theme here? Yeah, she’s a lifelong Sinatra fan. We think maybe she relates everything to Ol’ Blue Eyes.
So let’s just say it’s the fresh, vibrant floral scent that makes it so popular. Rosewood, musk, baby rose, jasmine and more (we can’t give away all our secrets now, can we?) make it unique among floral fragrance blends. Combine that magic with our amazing hand-blended sugar, shea butter, rice bran oil and pH-balanced soap scrub and you’ve got something really special. And while we can’t guarantee that it’s Sexy Laundry Day Crush On You that keeps Ethelwyn still globe-hopping, able to toss back dirty martinis like a sailor and breeze through the NY Times crossword in no time at all, it can’t hurt, either.
Sexy Laundry Day: Great with any Sinatra song at all.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/103/images/532/Sexy_Laundry_Day_Crush_On_You__74093.1400884042.600.600.jpg?c=2
Dark Chocolate Almond Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsDark Chocolate Almond Crush On You Sugar Scrub
","
Dark Chocolate Almond Sugar Scrub
Another Oldie, But Goodie
Rich, Dark Chocolate with a side of almonds.  I'll take two please!  Slightly nutty with lots of sweet...like Amaretto.
Like all Crush On You handmade sugar scrubs, Dark Chocolate Almond is made from sugar, unrefined shea butter, fresh oils and our pH-balanced wash, so your skin gets clean, exfoliated, moisturized all in one (great) swoop.
So put that chocolate bar down and run a bath instead!!
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/143/images/610/DarkChocAlmond5__84892.1441244766.600.600.jpg?c=2
Raspberry Linzer Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsRaspberry Linzer Crush On You Sugar Scrub
","
Raspberry Linzer Sugar Scrub
Back By Popular Demand - You asked...we listened.
Lovely buttery shortbread cookie filled with sweet berry jam. This one smells so good, you'll be tempted to grab a spoon and pour a glass of milk (but we strongly suggest you control the urge and not ingest this one).  Smells very rich with wild berries and a hint of shortbread cookie!
Like all Crush On You handmade sugar scrubs, Raspberry Linzer is made from sugar, unrefined shea butter, fresh oils and our pH-balanced wash, so your skin gets clean, exfoliated, moisturized all in one (great) swoop.
A wonderful home-baked, sweet berry scent, Raspberry Linzer is just the scrub you'll reach for...while everyone else is reaching for high-calorie dessert!!
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/142/images/605/RaspberryLinzer4__61633.1441243690.600.600.jpg?c=2
Warm Apple Crisp Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsWarm Apple Crisp Crush On You Sugar Scrub
","
Limited Edition: Warm Apple Crisp Sugar Scrub
Our Apple Orchards are beginning to open for the season - And that means it's apple-picking time.
For a limited time only we're offering you this scrumptiously sweet (and slightly tart), buttery dessert in the form of a Crush on You sugar scrub.  Don't procrastinate on ordering this one...we sold one straight out of the mixing bowl and we hadn't even had time to label it...it's THAT good!
Like all Crush On You handmade sugar scrubs, Warm Apple Crisp is made from sugar, unrefined shea butter, fresh oils and our pH-balanced wash, so your skin gets clean, exfoliated, moisturized all in one (great) swoop.
A wonderful home-baked, yummy scent, Warm Apple Crisp is just the scrub to get you in the mood for the upcoming Fall season. It's only here for a limited time, so grab some while the grabbing's good.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/141/images/598/WarmAppleCrisp3__15715.1440464568.600.600.jpg?c=2
Palm Beach Illustrated Crush On You Sugar Scrub,"
HomeCrush On You Sugar ScrubsPalm Beach Illustrated Crush On You Sugar Scrub
","
First The Soap - Now The Scrub
We're not going to kid you: we wouldn't complain if we were rich. I mean, maybe about how tough it is to find a good Ferrari mechanic, but other than that, we'd be good. But since we don't think we'll be joining the ranks those who can snap up mansions on Palm Beach like hungry hungry hippos snap up those marbles any time soon, it looks like we'll just have to pretend. And once we're in the shower with Palm Beach Illustrated Crush On You (or soap), pretending gets a whole lot easier.
Originally created at the request of Palm Beach Illustrated Magazine to celebrate their 60th anniversary, Palm Beach Illustrated became an instant best-selling soap. Understandable we suppose, as the soap is gorgeous. But it's not just about the look. As Lynyrd Skynyrd famously said: ""ooh-ooh that smell"" (no, this doesn't smell like... that - but the sentiment is the same).
It's a blend of blooming lily, ripe cantaloupe and sugarcane. Just the sort of combo that might waft from the gardens of beachfront homes in Palm Beach. And after many, many requests, we've released a Crush On You in this magical scent. It's beautiful, it's balanced, it's delightful.
Palm Beach Illustrated Crush On You sugar scrub: Scrub it like a Trump. We have no idea what that means either.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/111/images/529/Palm_Beach_Illustrated_Crush_On_You__10688.1400884003.600.600.jpg?c=2
Chef's Scrub Handmade Sugar Scrub for Chefs,"
HomeCrush On You Sugar ScrubsChef's Scrub Handmade Sugar Scrub for Chefs
","
Our Compliments to the Chef
We love to cook. What we don’t love is cleaning: pots and pans or stubbornly fishy post-tuna-salad-making hands. We still don’t have a great solution to offer you on the pots and pans issue (though we recommend having a teenager or two around that wants to be able to go out on Friday night), but we’ve got the perfect handmade scrubby soap answer for your hands: Chef’s Scrub.
We’re well aware that keeping hands soft while scrubbing them clean isn’t easy, but Chef’s Scrub does the job. At its heart, it’s a handmade sugar scrub. But when you take a sugar scrub and combine it with pH-balanced soap, unrefined shea butter and fresh, high quality rice bran oil (as we do with all varieties of Crush On You), then add a helping of ground coffee (which is exclusive to Chef’s Scrub), you get something bigger, better and kinder to your hands.
The great lemon and black pepper scent helps cut the smell of garlic, fish, or whatever other delicious (if perhaps smelly) foods you’ve been working with, while the sugar scrubs your skin clean. Then the shea butter and oils jump in, moisturizing your skin and keeping it from drying out no matter how often you wash up. Finally, the imported cleanser rinses it all off clean as a whistle. That ground coffee we add super-charges the entire experience.
So stop worrying and start enjoying the cook. When you’re done, Chef’s Scrub will remove residual oils and other nasties, neutralize odors from potent foods, and leave your hands clean, smelling sweet and super soft.
",Standard 9.5 Ounce,"
                        $14.75
                    ",http://cdn2.bigcommerce.com/server1400/wjolcmh/products/101/images/535/Chefs_Scrub_Crush_On_You__20058.1400884115.600.600.jpg?c=2
